,name,username,tweetid,time,tweets,fanboy
0,PaulD,SpeakinOut2,749927543289982976,7/4/2016 11:27:13 AM,RT @ARnews1936: Kuwait busts three ISIS cells plotting terror attacks http://english.alarabiya.net/en/News/middle-east/2016/07/04/Kuwait-busts-three-ISIS-cells-plotting-attacks-.html,0
1,Emran Getu,emran_getu,11200,4/7/2016 10:22,"The struggle between Ahlu Sunnah and the Rawaafidh is a struggle between Tawheed and Shirk, a struggle between Iman and Kufr. ",1
2,ikhwan ms,ikhwanMS,750061044089823233,7/4/2016 8:17:43 PM,RT @ulil: Tetapi begini. Rencana menghancurkan makam Nabi itu sudah pernah dilakukan oleh kelompok Wahabi sejak awal abad ke-20 dulu. Bukan…,0
3,Nur Suraya,surayaabdrashid,750138763867623424,7/5/2016 1:26:32 AM,RT @WeTeachLifeSir_: ISIS just bombed a mosque in the 2nd holiest city in Islam during the holiest month in Islam.   Don't ever say that IS…,0
4,Ramesh Thakur,Ramesh_drive,752451851698606080,7/11/2016 10:37:55 AM,"U.S intel warns: ISIS not desperate, just 'adapting': Recent raids against ISIS targets have given the U.S. i. http://www.cnn.com/2016/07/11/politics/isis-us-intelligence/index.html ",0
5,Jordan Lindsey,JordanLindsey88,750089446217822209,7/4/2016 10:10:34 PM,RT @HowMuchDuck: ISIS IS MUSLIM BUT THEY BOMBED MECCA.  Y'all are stupid claiming this terrorist group is Muslim when they're harming Musli…,0
6,Ashish Mullick,Hotbull12,749932981242982400,7/4/2016 11:48:50 AM,"WHAT ARE WE DOING ABOUT THE CAMPS??? India had warned of Isis terror attack in Dhaka, says Bangladesh govt official http://m.ibtimes.co.in/india-had-warned-isis-terror-attack-dhaka-says-bangladesh-govt-official-685441",0
7,Umar,Umar_Khan10,749894183469670400,7/4/2016 9:14:40 AM,RT @JustinTrudeau: So-called Islamic State has again proven itself an enemy of all Muslims. My thoughts are with victims of the Ramadan att…,0
8,Huma Naqi,huma_naqi,749932528811868160,7/4/2016 11:47:02 AM,#BangladeshSnubbedIndia ISIS in South Asia gets all arms and weapons by Indian state. This is an open truth pic.twitter.com/3tTkI5mkoJ,0
9,tomatom@たぬきの尻尾は手入れ必要,fusasippona,752629977187692544,7/11/2016 10:25:44 PM,ISISのグローバル・テロ作戦が始まる｜ニューズウィーク日本版 http://www.newsweekjapan.jp/stories/world/2016/07/isis-69.php,0
10,Patrick Bell,waffle_lord628,749966141351747586,7/4/2016 2:00:36 PM,"@LexiPierce1999 like you could do better smfh, bet u lowkey with Isis or sum too huh 😪😪😪",0
11,كتكات كوكونت,Uncle_SamCoco,15718,5/5/2016 20:22,"@wail75r le problème c'est que je vois seulement des bobo de Damas et de Téhéran et des soldats russes/syrien, ou sont les habitants ",1
12,James Bradbury,jekbradbury,752666398422241281,7/12/2016 12:50:27 AM,"RT @IraqiSecurity: #Iraq 's flag flying above Qayyarah air base, south of #Mosul. Retaken by the Iraqi army + counter-terrorism forces. http…",0
13,Aneeka Ashraf,AneekaAshraf,749887444602986496,7/4/2016 8:47:53 AM,RT @Independent: Death toll in Baghdad from Isis bomb attack rises to 165 http://www.independent.co.uk/news/world/middle-east/baghdad-bombing-attack-isis-iraq-death-toll-latest-news-car-terror-a7118546.html ,0
14,tanitopasqual,tanitopasqual,752610062296907776,7/11/2016 9:06:36 PM,el testimonio del arg que escapó DETERRORISTAS ISLAMICOS Bangladesh - http://www.minutouno.com/notas/1496470-ver-el-horror-y-vivir-contarlo-el-testimonio-del-argentino-que-escapo-del-isis @TerritorioLince pic.twitter.com/hK2oahDCTu,0
15,Peter Holand,OsloNetwork,752500622105178112,7/11/2016 1:51:43 PM,RT @nytimes: The U.S. will deploy 560 troops to Iraq to help retake Mosul from ISIS http://www.nytimes.com/2016/07/12/world/middleeast/us-iraq-mosul.html ,0
16,Kansas BernieOrBust,rjhenning2016,750001133721047041,7/4/2016 4:19:39 PM,The worst ISIS attack in days is the one the world probably cares least about https://www.washingtonpost.com/news/worldviews/wp/2016/07/03/the-worst-alleged-isis-attack-in-days-is-the-one-the-world-probably-cares-least-about/ ,0
